participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,window_width,window_height,person_side,robot_side,gaze_sample_count,gaze_duration_ms,person_dwell_ms,robot_dwell_ms,off_dwell_ms,total_observed_gaze_time_ms,person_gaze_pct,eyetracking_mos,gaze_sample_rate_hz,gaze_sample_rate_hz_strict,valid_dwell_pct,person_box_left,person_box_top,person_box_right,person_box_bottom,robot_box_left,robot_box_top,robot_box_right,robot_box_bottom
P15,A,new,69,04 segundos brpr-27-syntacc-295Ksteps F-n-20db,brpr-27,synthetic,1907.0,872.0,right,left,150,4953.10000000149,1799.2000000029802,3153.89999999851,0.0,4953.10000000149,36.32472592926529,2,30.284064525237703,30.08217076173612,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,97,05 segundos brrj-26-syntacc-295Ksteps M-n-20db,brrj-26,synthetic,1907.0,872.0,left,right,154,5104.099999997765,1665.300000000745,3438.7999999970198,0.0,5104.099999997765,32.62671185912255,2,30.171822652390713,29.975901726076486,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,99,05 segundos brrs-28-gt M-n-20db,brrs-28,natural,1907.0,872.0,right,left,166,5502.300000000745,4817.60000000149,684.6999999992549,0.0,5502.300000000745,87.55611289825778,5,30.16920197008115,29.987459789538494,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,123,08 segundos brsp-29-gt M-n-20db,brsp-29,natural,1907.0,872.0,right,left,258,8558.300000000745,6290.10000000149,2268.199999999255,0.0,8558.300000000745,73.49707301684847,4,30.146173889671726,30.02932825444044,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,88,05 segundos brpb-22-gt M-n-20db,brpb-22,natural,1907.0,872.0,left,right,152,5052.0,4353.60000000149,698.3999999985099,0.0,5052.0,86.17577197152593,5,30.08709422011085,29.889152810768014,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,78,05 segundos bral-20-gt M-n-20db,bral-20,natural,1907.0,872.0,right,left,153,5074.800000000745,4459.5,615.3000000007451,0.0,5074.800000000745,87.87538425158323,5,30.14897138803057,29.95191928745521,100.0,1384.0,232.0,1789.0,637.0,118.0,232.0,523.0,637.0
P15,A,new,119,08 segundos brpr-22-gt F-n-20db,brpr-22,natural,1907.0,872.0,right,left,247,8186.89999999851,8086.39999999851,100.5,0.0,8186.89999999851,98.77242912457685,5,30.170149873584016,30.04800351782052,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,108,06 segundos brpe-28-gt M-n-20db,brpe-28,natural,1907.0,872.0,left,right,200,6567.300000000745,4445.800000000745,2121.5,0.0,6567.300000000745,67.69600901436269,4,30.453915612196386,30.301646034135402,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
P15,A,new,68,04 segundos brpr-20-syntacc-295Ksteps F-n-20db,brpr-20,synthetic,1907.0,872.0,right,left,144,4732.300000000745,4143.800000000745,588.5,0.0,4732.300000000745,87.56418654776942,5,30.42917820087005,30.21786446336401,100.0,1384.0,232.5,1789.0,636.5,118.0,232.0,523.0,637.0
P15,A,new,106,06 segundos brba-24-gt M-n-20db,brba-24,natural,1907.0,872.0,left,right,184,6107.300000000745,4724.5,1382.800000000745,0.0,6107.300000000745,77.35824341361032,4,30.127879750458888,29.96414127355422,100.0,118.0,232.0,523.0,637.0,1384.0,232.0,1789.0,637.0
